time,Ch1,Ch2,Ch3
348,288.51,-242.28,185.82
349,283.62,-247.03,180.93
350,288.51,-247.03,180.93
351,293.4,-247.03,185.82
352,288.51,-251.78,185.82
353,288.51,-251.78,185.82
354,288.51,-251.78,190.71
355,288.51,-256.53,185.82
356,293.4,-256.53,190.71
357,293.4,-256.53,190.71
358,293.4,-261.28,190.71
359,298.29,-261.28,195.6
360,298.29,-261.28,195.6
361,298.29,-261.28,195.6
362,298.29,-266.03,195.6
363,303.18,-266.03,200.49
364,303.18,-270.78,200.49
365,303.18,-270.78,200.49
366,303.18,-270.78,200.49
367,308.07,-275.53,200.49
368,308.07,-275.53,200.49
369,308.07,-275.53,205.38
370,308.07,-280.28,205.38
371,308.07,-280.28,205.38
372,312.96,-285.03,205.38
373,312.96,-285.03,210.27
374,312.96,-285.03,210.27
375,317.85,-285.03,215.16
376,317.85,-289.78,215.16
377,317.85,-289.78,215.16
378,317.85,-294.53,215.16
379,317.85,-294.53,220.05
380,322.74,-294.53,220.05
381,322.74,-294.53,215.16
382,317.85,-299.28,220.05
383,317.85,-308.78,220.05
384,322.74,-308.78,215.16
385,322.74,-308.78,220.05
386,327.63,-308.78,224.94
387,327.63,-313.53,224.94
388,332.52,-313.53,224.94
389,332.52,-313.53,229.83
390,332.52,-313.53,229.83
391,337.41,-313.53,229.83
392,337.41,-318.28,234.72
393,337.41,-318.28,229.83
394,337.41,-323.03,229.83
395,342.3,-323.03,234.72
396,337.41,-327.78,234.72
397,342.3,-327.78,234.72
398,347.19,-327.78,239.61
399,347.19,-332.54,239.61
400,347.19,-332.54,239.61
401,347.19,-332.54,239.61
402,347.19,-337.29,244.5
403,352.08,-337.29,244.5
404,352.08,-342.04,244.5
405,352.08,-346.79,244.5
406,352.08,-346.79,249.39
407,356.97,-346.79,249.39
408,356.97,-351.54,249.39
409,356.97,-346.79,249.39
410,361.86,-351.54,249.39
411,361.86,-356.29,254.28
412,361.86,-356.29,254.28
413,361.86,-361.04,259.17
414,361.86,-361.04,259.17
415,366.75,-365.79,259.17
416,366.75,-365.79,259.17
417,366.75,-370.54,264.06
418,371.64,-370.54,264.06
419,366.75,-370.54,264.06
420,371.64,-375.29,264.06
421,371.64,-380.04,264.06
422,371.64,-375.29,264.06
423,376.53,-380.04,273.84
424,376.53,-384.79,268.95
425,376.53,-384.79,268.95
426,381.42,-384.79,273.84
427,381.42,-389.54,273.84
428,381.42,-394.29,273.84
429,386.31,-389.54,278.73
430,386.31,-394.29,278.73
431,386.31,-399.04,278.73
432,386.31,-403.79,273.84
433,386.31,-403.79,278.73
434,381.42,-408.54,278.73
435,386.31,-408.54,278.73
436,391.2,-413.29,283.62
437,391.2,-413.29,283.62
438,396.09,-413.29,283.62
439,400.98,-418.04,288.51
440,396.09,-418.04,288.51
441,405.87,-418.04,293.4
442,405.87,-422.79,298.29
443,405.87,-427.55,298.29
444,405.87,-422.79,298.29
445,405.87,-427.55,298.29
446,405.87,-432.3,298.29
447,405.87,-432.3,298.29
448,410.76,-437.05,303.18
449,410.76,-441.8,303.18
450,410.76,-441.8,308.07
451,415.65,-441.8,308.07
452,415.65,-446.55,308.07
453,415.65,-446.55,308.07
454,420.54,-446.55,308.07
455,415.65,-456.05,312.96
456,420.54,-456.05,312.96
457,420.54,-456.05,312.96
458,420.54,-460.8,312.96
459,420.54,-460.8,317.85
460,425.43,-465.55,317.85
461,430.32,-465.55,317.85
462,425.43,-465.55,317.85
463,430.32,-470.3,317.85
464,430.32,-470.3,322.74
465,435.21,-475.05,327.63
466,435.21,-475.05,327.63
467,435.21,-479.8,327.63
468,430.32,-484.55,327.63
469,440.1,-484.55,332.52
470,440.1,-484.55,332.52
471,440.1,-489.3,332.52
472,444.99,-489.3,332.52
473,440.1,-494.05,337.41
474,444.99,-498.8,337.41
475,449.88,-498.8,337.41
476,449.88,-498.8,342.3
477,449.88,-503.55,342.3
478,449.88,-503.55,342.3
479,454.77,-508.3,347.19
480,459.66,-513.05,352.08
481,454.77,-513.05,352.08
482,454.77,-517.8,342.3
483,449.88,-517.8,347.19
484,454.77,-522.55,352.08
485,454.77,-527.31,352.08
486,459.66,-527.31,352.08
487,464.55,-532.06,352.08
488,464.55,-536.81,356.97
489,464.55,-536.81,361.86
490,474.33,-536.81,361.86
491,469.44,-541.56,361.86
492,474.33,-541.56,366.75
493,479.22,-541.56,366.75
494,479.22,-546.31,366.75
495,479.22,-551.06,366.75
496,479.22,-555.81,371.64
497,479.22,-555.81,371.64
498,479.22,-555.81,371.64
499,484.11,-560.56,376.53
500,484.11,-565.31,376.53
501,484.11,-565.31,376.53
502,489,-565.31,381.42
503,489,-570.06,381.42
504,489,-574.81,381.42
505,489,-574.81,381.42
506,493.89,-579.56,386.31
507,489,-584.31,386.31
508,493.89,-584.31,386.31
509,493.89,-584.31,396.09
510,493.89,-589.06,386.31
511,498.78,-593.81,396.09
512,503.67,-593.81,396.09
513,503.67,-598.56,396.09
514,503.67,-598.56,396.09
515,508.56,-598.56,400.98
516,508.56,-603.31,400.98
517,503.67,-608.06,400.98
518,513.45,-608.06,405.87
519,513.45,-612.81,405.87
520,508.56,-617.57,405.87
521,518.34,-617.57,410.76
522,518.34,-622.32,405.87
523,518.34,-627.07,405.87
524,523.23,-622.32,415.65
525,523.23,-631.82,415.65
526,518.34,-631.82,410.76
527,523.23,-631.82,415.65
528,528.12,-636.57,420.54
529,523.23,-641.32,420.54
530,533.01,-641.32,425.43
